"movie_year","genre","movies_qty_pro_year"
1902,Action,1
1902,Adventure,1
1902,Fantasy,1
1902,Sci-Fi,1
1903,Crime,1
1903,Western,1
1908,Animation,1
1908,Comedy,1
1908,Sci-Fi,1
1915,Drama,1
1915,War,1
1916,Action,1
1916,Adventure,1
1916,Comedy,1
1916,Drama,1
1916,Fantasy,1
1916,Romance,1
1916,Sci-Fi,1
1917,Comedy,1
1919,Comedy,1
1919,Drama,1
1920,Comedy,1
1920,Crime,1
1920,Fantasy,1
1920,Horror,1
1921,Comedy,1
1921,Drama,1
1922,Horror,1
1923,Action,1
1923,Comedy,2
1923,Drama,2
1923,Horror,1
1923,Romance,1
1924,Action,2
1924,Adventure,2
1924,Comedy,2
1924,Drama,2
1924,Fantasy,3
1924,Romance,2
1924,Sci-Fi,1
1924,Thriller,1
1925,Adventure,2
1925,Comedy,2
1925,Drama,2
1925,Romance,2
1925,War,1
1926,Adventure,1
1926,Comedy,2
1926,Drama,3
1926,Fantasy,1
1926,Horror,1
1926,Romance,1
1926,War,1
1927,Comedy,1
1927,Crime,1
1927,Drama,5
1927,Horror,1
1927,Musical,1
1927,Mystery,1
1927,Romance,2
1927,Sci-Fi,1
1927,Thriller,1
1928,Animation,1
1928,Children,1
1928,Comedy,3
1928,Drama,1
1928,Musical,1
1928,Romance,1
1929,Comedy,1
1929,Documentary,1
1929,Fantasy,1
1929,Musical,2
1930,Action,1
1930,Comedy,1
1930,Drama,4
1930,Musical,1
1930,Romance,1
1930,War,1
1931,Action,1
1931,Comedy,4
1931,Crime,3
1931,Drama,9
1931,Film-Noir,1
1931,Horror,3
1931,Musical,1
1931,Mystery,1
1931,Romance,3
1931,Sci-Fi,1
1931,Thriller,1
1931,Western,1
1932,Comedy,3
1932,Crime,3
1932,Drama,4
1932,Film-Noir,1
1932,Horror,2
1932,Romance,4
1932,War,1
1933,Action,1
1933,Adventure,2
1933,Children,1
1933,Comedy,5
1933,Crime,1
1933,Drama,4
1933,Fantasy,2
1933,Horror,3
1933,Musical,4
1933,Mystery,1
1933,Romance,4
1933,Sci-Fi,1
1933,Thriller,1
1933,War,1
1934,Children,1
1934,Comedy,6
1934,Crime,1
1934,Documentary,2
1934,Drama,4
1934,Fantasy,1
1934,Musical,2
1934,Romance,3
1934,Thriller,1
1934,War,1
1935,Action,1
1935,Adventure,2
1935,Comedy,7
1935,Drama,6
1935,Fantasy,1
1935,Horror,1
1935,Musical,4
1935,Mystery,1
1935,Romance,6
1935,Sci-Fi,1
1935,Thriller,1
1936,Adventure,2
1936,Comedy,7
1936,Crime,2
1936,Drama,7
1936,Film-Noir,1
1936,Musical,4
1936,Mystery,1
1936,Romance,10
1936,Thriller,3
1936,Western,1
1937,Action,1
1937,Adventure,2
1937,Animation,1
1937,Children,2
1937,Comedy,3
1937,Crime,2
1937,Drama,12
1937,Fantasy,1
1937,Film-Noir,1
1937,Musical,3
1937,Romance,4
1937,Thriller,1
1937,War,1
1938,Action,2
1938,Adventure,1
1938,Animation,2
1938,Children,2
1938,Comedy,8
1938,Crime,1
1938,Drama,9
1938,Fantasy,2
1938,Film-Noir,1
1938,Musical,1
1938,Mystery,1
1938,Romance,4
1938,Thriller,2
1938,War,1
1939,Action,1
1939,Adventure,4
1939,Animation,2
1939,Children,4
1939,Comedy,9
1939,Crime,2
1939,Drama,15
1939,Fantasy,1
1939,Musical,2
1939,Mystery,1
1939,Romance,9
1939,Thriller,1
1939,War,2
1939,Western,2
1940,Action,2
1940,Adventure,3
1940,Animation,2
1940,Children,2
1940,Comedy,11
1940,Drama,14
1940,Fantasy,3
1940,Film-Noir,2
1940,Horror,1
1940,Musical,3
1940,Mystery,2
1940,Romance,9
1940,Sci-Fi,2
1940,Thriller,3
